Date,France: CAC 40,UK: FTSE 100,Germany: DAX,US: S&P 500,Canada: TSX Composite,Japan: Nikkei 225
2016-06-21,4367.240234375,6226.60009765625,10015.5400390625,2088.89990234375,14012.2998046875,16169.1103515625
2016-06-22,4380.02978515625,6261.2001953125,10071.0595703125,2085.449951171875,14003.7998046875,16065.7197265625
2016-06-23,4465.89990234375,6338.10009765625,10257.0302734375,2113.320068359375,14131.400390625,16238.349609375
2016-06-24,4106.72998046875,6138.7001953125,9557.16015625,2037.4100341796875,13891.900390625,14952.01953125
2016-06-27,4030.300048828125,5982.2001953125,9268.66015625,2000.5400390625,13689.7998046875,15309.2099609375
2016-06-28,4088.85009765625,6140.39990234375,9447.2802734375,2036.0899658203125,13842.7001953125,15323.1396484375
2016-06-29,4195.31982421875,6360.10009765625,9612.26953125,2070.77001953125,14036.7001953125,15566.830078125
2016-06-30,4237.47998046875,6504.2998046875,9680.08984375,2098.860107421875,14064.5,15575.919921875
2016-07-05,4163.419921875,6545.39990234375,9532.6103515625,2088.550048828125,14219.599609375,15669.330078125
2016-07-06,4085.300048828125,6463.60009765625,9373.259765625,2099.72998046875,14231.099609375,15378.990234375
2016-07-07,4117.85009765625,6533.7998046875,9418.7802734375,2097.89990234375,14134.5,15276.240234375
2016-07-08,4190.68017578125,6590.60009765625,9629.66015625,2129.89990234375,14259.7998046875,15106.98046875
2016-07-11,4264.52978515625,6682.89990234375,9833.41015625,2137.159912109375,14361.900390625,15708.8203125
2016-07-12,4331.3798828125,6680.7001953125,9964.0703125,2152.139892578125,14477.7001953125,16095.650390625
2016-07-13,4335.259765625,6670.39990234375,9930.7099609375,2152.429931640625,14493.7998046875,16231.4296875
2016-07-14,4385.52001953125,6654.5,10068.2998046875,2163.75,14514.5,16385.890625
2016-07-15,4372.509765625,6669.2001953125,10066.900390625,2161.739990234375,14482.400390625,16497.849609375
2016-07-19,4330.1298828125,6697.39990234375,9981.240234375,2163.780029296875,14524.599609375,16723.310546875
2016-07-20,4379.759765625,6729.0,10142.009765625,2173.02001953125,14533.599609375,16681.890625
2016-07-21,4376.25,6699.89990234375,10156.2099609375,2165.169921875,14565.7998046875,16810.220703125
2016-07-22,4381.10009765625,6730.5,10147.4599609375,2175.030029296875,14600.7001953125,16627.25
2016-07-25,4388.0,6710.10009765625,10198.240234375,2168.47998046875,14498.099609375,16620.2890625
2016-07-26,4394.77001953125,6724.0,10247.759765625,2169.179931640625,14550.0,16383.0400390625
2016-07-27,4446.9599609375,6750.39990234375,10319.5498046875,2166.580078125,14546.5,16664.8203125
2016-07-28,4420.580078125,6721.10009765625,10274.9296875,2170.06005859375,14552.7001953125,16476.83984375
2016-07-29,4439.81005859375,6724.39990234375,10337.5,2173.60009765625,14582.7001953125,16569.26953125
2016-08-02,4327.990234375,6645.39990234375,10144.33984375,2157.030029296875,14477.0,16391.44921875
2016-08-03,4321.080078125,6634.39990234375,10170.2099609375,2163.7900390625,14512.099609375,16083.1103515625
2016-08-04,4345.6298828125,6740.2001953125,10227.8603515625,2164.25,14528.7998046875,16254.8896484375
2016-08-05,4410.5498046875,6793.5,10367.2099609375,2182.8701171875,14648.7998046875,16254.4501953125
2016-08-08,4415.4599609375,6809.10009765625,10432.3603515625,2180.889892578125,14755.599609375,16650.5703125
2016-08-09,4468.06982421875,6851.2998046875,10692.900390625,2181.739990234375,14801.2001953125,16764.970703125
2016-08-10,4452.009765625,6866.39990234375,10650.8896484375,2175.489990234375,14775.0,16735.119140625
2016-08-12,4500.18994140625,6916.0,10713.4296875,2184.050048828125,14747.5,16919.919921875
2016-08-15,4497.85986328125,6941.2001953125,10739.2099609375,2190.14990234375,14777.0,16869.560546875
2016-08-16,4460.43994140625,6893.89990234375,10676.650390625,2178.14990234375,14703.400390625,16596.509765625
2016-08-17,4417.68017578125,6859.2001953125,10537.669921875,2182.219970703125,14697.599609375,16745.640625
2016-08-18,4437.06005859375,6869.0,10603.0302734375,2187.02001953125,14695.7001953125,16486.009765625
2016-08-19,4400.52001953125,6859.0,10544.3603515625,2183.8701171875,14687.5,16545.8203125
2016-08-22,4389.93994140625,6828.5,10494.349609375,2182.639892578125,14748.2001953125,16598.189453125
2016-08-23,4421.4501953125,6868.5,10592.8798828125,2186.89990234375,14764.7998046875,16497.359375
2016-08-24,4435.47021484375,6835.7998046875,10622.9697265625,2175.43994140625,14626.2001953125,16597.30078125
2016-08-25,4406.60986328125,6816.89990234375,10529.58984375,2172.469970703125,14630.7001953125,16555.94921875
2016-08-26,4441.8701171875,6838.10009765625,10587.76953125,2169.0400390625,14639.900390625,16360.7099609375
2016-08-30,4457.490234375,6820.7998046875,10657.6396484375,2176.1201171875,14684.900390625,16725.359375
2016-08-31,4438.22021484375,6781.5,10592.6904296875,2170.949951171875,14598.0,16887.400390625
2016-09-01,4439.669921875,6746.0,10534.3095703125,2170.860107421875,14683.900390625,16926.83984375
2016-09-02,4542.169921875,6894.60009765625,10683.8203125,2179.97998046875,14795.7001953125,16925.6796875
2016-09-06,4529.9599609375,6826.10009765625,10687.1396484375,2186.47998046875,14813.0,17081.98046875
2016-09-07,4557.66015625,6846.60009765625,10752.98046875,2186.159912109375,14796.7998046875,17012.439453125
2016-09-08,4542.2001953125,6858.7001953125,10675.2900390625,2181.300048828125,14803.2998046875,16958.76953125
2016-09-09,4491.39990234375,6777.0,10573.4404296875,2127.81005859375,14540.0,16965.759765625
2016-09-12,4439.7998046875,6700.89990234375,10431.76953125,2159.0400390625,14597.099609375,16672.919921875
2016-09-13,4387.18017578125,6665.60009765625,10386.599609375,2127.02001953125,14349.099609375,16729.0390625
2016-09-14,4370.259765625,6673.2998046875,10378.400390625,2125.77001953125,14366.5,16614.240234375
2016-09-15,4373.22021484375,6730.2998046875,10431.2001953125,2147.260009765625,14503.7001953125,16405.009765625
2016-09-16,4332.4501953125,6710.2998046875,10276.169921875,2139.159912109375,14450.7001953125,16519.2890625
2016-09-20,4388.60009765625,6830.7998046875,10393.8603515625,2139.760009765625,14522.0,16492.150390625
2016-09-21,4409.5498046875,6834.7998046875,10436.490234375,2163.1201171875,14710.7998046875,16807.619140625
2016-09-23,4488.68994140625,6909.39990234375,10626.9697265625,2164.68994140625,14697.900390625,16754.01953125
2016-09-26,4407.85009765625,6818.0,10393.7099609375,2146.10009765625,14619.5,16544.560546875
2016-09-27,4398.68017578125,6807.7001953125,10361.48046875,2159.929931640625,14558.0,16683.9296875
2016-09-28,4432.4501953125,6849.39990234375,10438.33984375,2171.3701171875,14731.400390625,16465.400390625
2016-09-29,4443.83984375,6919.39990234375,10405.5400390625,2151.1298828125,14754.599609375,16693.7109375
2016-09-30,4448.259765625,6899.2998046875,10511.01953125,2168.27001953125,14725.900390625,16449.83984375
2016-10-04,4503.08984375,7074.2998046875,10619.6103515625,2150.489990234375,14521.0,16735.650390625
2016-10-05,4489.9501953125,7033.2998046875,10585.7802734375,2159.72998046875,14610.599609375,16819.240234375
2016-10-06,4480.10009765625,7000.0,10568.7998046875,2160.77001953125,14595.5,16899.099609375
2016-10-07,4449.91015625,7044.39990234375,10490.8603515625,2153.739990234375,14566.2998046875,16860.08984375
2016-10-11,4471.740234375,7070.89990234375,10577.16015625,2136.72998046875,14549.599609375,17024.759765625
2016-10-12,4452.240234375,7024.0,10523.0703125,2139.179931640625,14619.0,16840.0
2016-10-13,4405.169921875,6977.7001953125,10414.0703125,2132.550048828125,14643.7001953125,16774.240234375
2016-10-14,4470.919921875,7013.60009765625,10580.3798828125,2132.97998046875,14585.0,16856.369140625
2016-10-17,4450.22998046875,6947.60009765625,10503.5703125,2126.5,14596.5,16900.119140625
2016-10-18,4508.91015625,7000.10009765625,10631.5498046875,2139.60009765625,14752.2998046875,16963.609375
2016-10-19,4520.2998046875,7021.89990234375,10645.6796875,2144.2900390625,14840.5,16998.91015625
