Date,PC 1 - Level,PC 2 - Slope,PC 3 - Curvature
1985-11-25,10.958806155149206,-3.2978157447818903,-2.6400703503475667
1985-11-26,10.904310071709904,-3.3304957497664427,-2.350693591402248
1985-11-27,10.87167301715793,-3.2572691402781015,-2.440846234816737
1985-11-29,10.838352652497269,-3.2410158496524186,-2.5249793935696365
1985-12-02,10.953924370470892,-3.349666555260244,-2.5941912993640193
1985-12-03,10.834304836480865,-3.35390665821704,-1.9860760084514535
1985-12-04,10.823960568476222,-3.246879203434645,-2.277858249520949
1985-12-05,10.85371312619632,-3.1950866647428566,-2.5267294283203583
1985-12-06,10.830621413355766,-3.219510110434145,-2.335361349868382
1985-12-09,10.761955200578495,-2.963897351958143,-2.9699647791628023
1985-12-10,10.744583438853647,-2.852759803065369,-3.597087148408669
1985-12-11,10.535565395912759,-2.7946177317565755,-3.437340557300741
1985-12-12,10.532711996806317,-3.022994270858722,-2.874133544616171
1985-12-13,10.579265074949804,-2.9426928373808443,-3.447952763857396
1985-12-16,10.49197207392607,-2.8839645619200565,-3.2774849311775274
1985-12-17,10.391316930898002,-2.6746853668299684,-3.6202369809104904
1985-12-18,10.47835190853293,-2.6703321321229794,-3.8058673157753433
1985-12-19,10.446539814158546,-2.5834575024676214,-3.749359040777174
1985-12-20,10.385931924856129,-2.576667102946934,-3.6582323408155974
1985-12-23,10.433684869512886,-2.5372794982537545,-3.890087381961701
1985-12-24,10.410820324597791,-2.538013297081713,-3.8001227181420587
1985-12-26,10.40170054213874,-2.424561763652081,-4.062233382281551
1985-12-27,10.454253516293651,-2.3508561560489256,-4.522513044742696
1985-12-30,10.474904509167343,-2.290910811081565,-4.705613882799533
1985-12-31,10.460890995375708,-2.354035072109372,-4.565272167671253
1986-01-02,10.445208138161652,-2.383202089990596,-4.3515431194796115
1986-01-03,10.459086196423382,-2.404354709423005,-4.331268244286912
1986-01-06,10.43913417275305,-2.4142323122984113,-4.183478694721299
1986-01-07,10.297967193879392,-2.264550915083867,-4.135336475601261
1986-01-08,10.4041499167043,-2.5045172123773765,-3.7282198320116633
1986-01-09,10.438149954820394,-2.4554713068279383,-3.2367857927460904
1986-01-10,10.525411715587307,-2.602621469952454,-3.137446169334359
1986-01-13,10.600603830368648,-2.726255241981225,-2.7545187695255398
1986-01-14,10.566220518354367,-2.582343562052982,-2.942009776916655
1986-01-15,10.540582849190034,-2.4129460089037775,-3.4606778103596842
1986-01-16,10.504733432154415,-2.5227146988507148,-3.193114680483408
1986-01-17,10.54054551244239,-2.4387931977353943,-3.7127172393695242
1986-01-21,10.5655969165382,-2.431487378379093,-3.8787230829784116
1986-01-22,10.639447628429137,-2.5470985361816796,-3.95346474113558
1986-01-23,10.592614802316643,-2.5727230090283797,-3.7751602029427866
1986-01-24,10.649202795953464,-2.6089381456880703,-4.039538241036003
1986-01-27,10.538272946440626,-2.5805097076430688,-3.9114322969951734
1986-01-28,10.471083125487276,-2.4795155209118542,-4.105331920580365
1986-01-29,10.43171567872743,-2.5644071345452786,-3.7315604051212943
1986-01-30,10.414788367143316,-2.5924717799548382,-3.5735826629415284
1986-01-31,10.431270597245122,-2.64043696679605,-3.6963439696156555
1986-02-03,10.396859894533222,-2.5504103964060074,-3.8541107900025477
1986-02-04,10.332243971161063,-2.480337425006291,-3.926044269213404
1986-02-05,10.310788196552032,-2.5862607883406463,-3.4837783423861737
1986-02-06,10.385403780981697,-2.581386134589217,-3.640590334376828
1986-02-07,10.467889555645439,-2.49792828578866,-3.7579903689354914
1986-02-10,10.37963911512908,-2.3570910199178203,-3.8591475429582878
1986-02-11,10.339215349728846,-2.2593110954225675,-4.1374219290110865
